phi,theta
2.8317E-06,0.3335
2.8317E-06,0.33386
2.8317E-06,0.33421
2.8317E-06,0.33457
2.8318E-06,0.33493
2.8318E-06,0.33529
2.8318E-06,0.33564
2.8318E-06,0.336
2.8318E-06,0.33636
2.8319E-06,0.33672
2.8319E-06,0.33708
2.8319E-06,0.33743
2.8319E-06,0.33779
2.8319E-06,0.33815
2.8319E-06,0.33851
2.832E-06,0.33886
2.832E-06,0.33922
2.832E-06,0.33958
2.832E-06,0.33994
2.832E-06,0.3403
2.8321E-06,0.34065
2.8321E-06,0.34101
2.8321E-06,0.34137
2.8321E-06,0.34173
2.8321E-06,0.34208
2.8321E-06,0.34244
2.8322E-06,0.3428
2.8322E-06,0.34316
2.8322E-06,0.34352
2.8322E-06,0.34387
2.8322E-06,0.34423
2.8323E-06,0.34459
2.8323E-06,0.34495
2.8323E-06,0.3453
2.8323E-06,0.34566
2.8323E-06,0.34602
2.8323E-06,0.34638
2.8324E-06,0.34674
2.8324E-06,0.34709
2.8324E-06,0.34745
2.8324E-06,0.34781
2.8324E-06,0.34817
2.8324E-06,0.34853
2.8325E-06,0.34888
2.8325E-06,0.34924
2.8325E-06,0.3496
2.8325E-06,0.34996
2.8325E-06,0.35031
2.8326E-06,0.35067
2.8326E-06,0.35103
2.8326E-06,0.35139
2.8326E-06,0.35175
2.8326E-06,0.3521
2.8326E-06,0.35246
2.8327E-06,0.35282
2.8327E-06,0.35318
2.8327E-06,0.35353
2.8327E-06,0.35389
2.8327E-06,0.35425
2.8327E-06,0.35461
2.8328E-06,0.35497
2.8328E-06,0.35532
2.8328E-06,0.35568
2.8328E-06,0.35604
2.8328E-06,0.3564
2.8328E-06,0.35676
2.8329E-06,0.35711
2.8329E-06,0.35747
2.8329E-06,0.35783
2.8329E-06,0.35819
2.8329E-06,0.35855
2.8329E-06,0.3589
2.833E-06,0.35926
2.833E-06,0.35962
2.833E-06,0.35998
2.833E-06,0.36033
2.833E-06,0.36069
2.833E-06,0.36105
2.8331E-06,0.36141
2.8331E-06,0.36177
2.8331E-06,0.36212
2.8331E-06,0.36248
2.8331E-06,0.36284
2.8331E-06,0.3632
2.8332E-06,0.36356
2.8332E-06,0.36391
2.8332E-06,0.36427
2.8332E-06,0.36463
2.8332E-06,0.36499
2.8332E-06,0.36535
