phi,theta
0.035238,-24.312
0.035238,-24.308
0.035238,-24.303
0.035238,-24.299
0.035238,-24.294
0.035238,-24.289
0.035238,-24.285
0.035238,-24.28
0.035238,-24.276
0.035238,-24.271
0.035238,-24.266
0.035238,-24.262
0.035238,-24.257
0.035238,-24.253
0.035238,-24.248
0.035238,-24.243
0.035238,-24.239
0.035238,-24.234
0.035238,-24.229
0.035238,-24.225
0.035238,-24.22
0.035238,-24.215
0.035238,-24.211
0.035238,-24.206
0.035238,-24.201
0.035238,-24.196
0.035238,-24.192
0.035238,-24.187
0.035238,-24.182
0.035238,-24.178
0.035238,-24.173
0.035238,-24.168
0.035238,-24.163
0.035238,-24.159
0.035238,-24.154
0.035238,-24.149
0.035238,-24.144
0.035239,-24.139
0.035239,-24.135
0.035239,-24.13
0.035239,-24.125
0.035239,-24.12
0.035239,-24.115
0.035239,-24.111
0.035239,-24.106
0.035239,-24.101
0.035239,-24.096
0.035239,-24.091
0.035239,-24.086
0.035239,-24.082
0.035239,-24.077
0.035239,-24.072
0.035239,-24.067
0.035239,-24.062
0.035239,-24.057
0.035239,-24.052
0.035239,-24.047
0.035239,-24.043
0.035239,-24.038
0.035239,-24.033
0.035239,-24.028
0.035239,-24.023
0.035239,-24.018
0.035239,-24.013
0.035239,-24.008
0.035239,-24.003
0.035239,-23.998
0.035239,-23.993
0.035239,-23.988
0.035239,-23.983
0.035239,-23.978
0.035239,-23.973
0.035239,-23.968
0.035239,-23.963
0.035239,-23.958
0.035239,-23.953
0.03524,-23.948
0.03524,-23.943
0.03524,-23.938
0.03524,-23.933
0.03524,-23.928
0.03524,-23.923
0.03524,-23.918
0.03524,-23.913
0.03524,-23.908
0.03524,-23.903
0.03524,-23.898
0.03524,-23.893
0.03524,-23.888
0.03524,-23.882
0.03524,-23.877
0.03524,-23.872
0.03524,-23.867
0.03524,-23.862
0.03524,-23.857
0.03524,-23.852
0.03524,-23.847
0.03524,-23.841
0.03524,-23.836
0.03524,-23.831
0.03524,-23.826
0.03524,-23.821
0.03524,-23.816
0.03524,-23.81
0.03524,-23.805
0.03524,-23.8
0.03524,-23.795
0.03524,-23.79
0.03524,-23.785
0.03524,-23.779
0.03524,-23.774
0.03524,-23.769
0.03524,-23.764
0.03524,-23.758
0.035241,-23.753
0.035241,-23.748
0.035241,-23.743
0.035241,-23.737
0.035241,-23.732
0.035241,-23.727
0.035241,-23.722
0.035241,-23.716
0.035241,-23.711
0.035241,-23.706
0.035241,-23.7
0.035241,-23.695
0.035241,-23.69
0.035241,-23.684
0.035241,-23.679
0.035241,-23.674
0.035241,-23.668
0.035241,-23.663
0.035241,-23.658
0.035241,-23.652
0.035241,-23.647
0.035241,-23.642
0.035241,-23.636
0.035241,-23.631
0.035241,-23.625
0.035241,-23.62
0.035241,-23.615
0.035241,-23.609
0.035241,-23.604
0.035241,-23.598
0.035241,-23.593
0.035241,-23.587
0.035241,-23.582
0.035241,-23.577
0.035241,-23.571
0.035241,-23.566
0.035241,-23.56
0.035241,-23.555
0.035241,-23.549
0.035242,-23.544
0.035242,-23.538
0.035242,-23.533
0.035242,-23.527
0.035242,-23.522
0.035242,-23.516
0.035242,-23.511
0.035242,-23.505
0.035242,-23.5
0.035242,-23.494
0.035242,-23.489
0.035242,-23.483
0.035242,-23.478
0.035242,-23.472
0.035242,-23.466
0.035242,-23.461
0.035242,-23.455
0.035242,-23.45
0.035242,-23.444
0.035242,-23.439
0.035242,-23.433
0.035242,-23.427
0.035242,-23.422
0.035242,-23.416
0.035242,-23.41
0.035242,-23.405
0.035242,-23.399
0.035242,-23.394
0.035242,-23.388
0.035242,-23.382
0.035242,-23.377
0.035242,-23.371
0.035242,-23.365
0.035242,-23.36
0.035242,-23.354
0.035242,-23.348
0.035242,-23.342
0.035242,-23.337
0.035242,-23.331
0.035243,-23.325
0.035243,-23.32
0.035243,-23.314
0.035243,-23.308
0.035243,-23.302
0.035243,-23.297
0.035243,-23.291
0.035243,-23.285
0.035243,-23.279
0.035243,-23.274
0.035243,-23.268
0.035243,-23.262
0.035243,-23.256
0.035243,-23.25
0.035243,-23.245
0.035243,-23.239
0.035243,-23.233
0.035243,-23.227
0.035243,-23.221
0.035243,-23.216
0.035243,-23.21
0.035243,-23.204
0.035243,-23.198
0.035243,-23.192
0.035243,-23.186
0.035243,-23.18
0.035243,-23.175
0.035243,-23.169
0.035243,-23.163
0.035243,-23.157
0.035243,-23.151
0.035243,-23.145
0.035243,-23.139
0.035243,-23.133
0.035243,-23.127
0.035243,-23.121
0.035243,-23.116
0.035243,-23.11
0.035244,-23.104
0.035244,-23.098
0.035244,-23.092
0.035244,-23.086
0.035244,-23.08
0.035244,-23.074
0.035244,-23.068
0.035244,-23.062
0.035244,-23.056
0.035244,-23.05
0.035244,-23.044
0.035244,-23.038
0.035244,-23.032
0.035244,-23.026
0.035244,-23.02
0.035244,-23.014
0.035244,-23.008
0.035244,-23.002
0.035244,-22.996
0.035244,-22.99
0.035244,-22.983
0.035244,-22.977
0.035244,-22.971
0.035244,-22.965
0.035244,-22.959
0.035244,-22.953
0.035244,-22.947
0.035244,-22.941
0.035244,-22.935
0.035244,-22.929
0.035244,-22.922
